,name,cusip,firstyr,gvkey,lastyr,pdpco,pdpseq,begyr,endyr,match
13963,GENEVA STEEL HLDGS CORP,372257,1990,21158,2000,21158,1,1990,2000,
13964,SUMMIT FINANCIAL CORP,866057,1993,21159,2004,21159,1,1993,2004,
13965,VPGI CORP,91828K,1993,21163,2006,21163,1,1993,2006,
13966,AMERICAN PACIFIC BANK  -CL B,02837P,1993,21166,2003,21166,1,1993,2003,
13967,ELECTRONIC TECHNOLOGY GROUP,285859,1989,21167,1993,21167,1,1989,1993,
13968,MAGIC RESTAURANTS INC,559164,1989,21170,1994,21170,1,1989,1994,
13969,MEDICIS PHARMACEUT CP  -CL A,584690,1990,21186,2006,21186,1,1990,2006,1
13970,YTB INTERNATIONAL INC,98425R,1988,21201,2006,21201,1,1988,2006,
13971,SYNTELLECT INC,87161L,1989,21204,2001,21204,1,1989,2001,1
13972,HEMDALE COMMUNICATIONS,423513,1989,21207,1993,21207,1,1989,1993,0
13973,DAWCIN INTERNATIONAL CORP,23922E,1989,21213,1995,21213,1,1989,1995,0
13974,OEC COMPRESSION CORP,670827,1989,21217,1999,21217,1,1989,1999,
13975,INTL AIRLINE SUPPORT GROUP,458865,1989,21218,2001,21218,1,1989,2001,
13976,NTN BUZZTIME INC,629410,1986,21232,2006,21232,1,1986,2006,0
13977,NORD PACIFIC LTD,65556D,1989,21233,2003,21233,1,1989,2003,
13978,PHARMACY MANAGEMENT SVCS,71713K,1990,21234,1994,21234,1,1990,1994,
13979,PINKERTONS INC,723429,1989,21235,1998,21235,2,1989,1998,0
13980,TETRA TECHNOLOGIES INC/DE,88162F,1989,21237,2006,21237,1,1989,2006,
13981,VICOR CORP,925815,1989,21238,2006,21238,1,1989,2006,1
13982,MEDGROUP INC,584364,1988,21240,1993,21240,1,1988,1993,0
13983,DISCOVERY TECHNOLGIES INC/CA,25468C,1990,21241,1993,21241,1,1990,1993,
13984,MATRIA HEALTHCARE INC,576817,1989,21244,2006,21244,1,1989,2006,1
13985,SANIFILL INC,801018,1989,21250,1995,21250,1,1989,1995,0
13986,ADVANCED LOGIC RESEARCH INC,7948,1989,21251,1996,21251,1,1989,1996,1
13987,AMERICAN EDUCATIONAL PRODUCT,02553T,1989,21252,2000,21252,1,1989,2000,
13988,AGP & CO INC,1230,1990,21256,1994,21256,1,1990,1994,
13989,BYL BANCORP,56064,1993,21272,2000,21272,1,1993,2000,
13990,ORGANIK TECHNOLOGIES INC,68617P,1992,21281,1995,21281,1,1992,1995,0
13991,KRAUSES FURNITURE INC,500760,1986,21291,2000,21291,1,1986,2000,0
13992,RICA FOODS INC,762582,1987,21300,2004,21300,1,1987,2004,
13993,BAYMARK TECHNOLOGIES INC,07286E,1999,21308,2000,21308,1,1999,2000,0
13994,CELUTEL INC,151203,1983,21309,1992,21309,1,1983,1992,0
13995,PRISM SOFTWARE CORP,742646,2001,21311,2005,21311,1,2001,2005,
13996,CHARTWELL INTL INC,161399,1999,21314,2006,21314,1,1999,2006,
13997,CLANCY SYSTEMS INTL INC,179818,1999,21320,2006,21320,1,1999,2006,1
13998,AMERN ARCHITECTURAL PDS CORP,23857,1997,21332,2000,21332,1,1997,2000,
13999,RAM VENTURE HOLDINGS CORP,751315,1987,21345,2003,21345,1,1987,2003,
14000,ONYX CORP,683378,1999,21350,2003,21350,1,1999,2003,
14001,NOCOPI TECHNOLOGIES INC,655212,1996,21361,2005,21361,1,1996,2005,1
14002,RASTRA BUILDING SYSTEMS INC,754081,1988,21373,1993,21373,1,1988,1993,
14003,SAVANNAH BANCORP INC,804748,1993,21374,2006,21374,1,1993,2006,
14004,AMERICAN MEDICAL HOLDINGS,27428,1961,21375,1994,21375,1,1961,1994,
14005,PRIME FEDERAL BANK FSB/WI,74155T,1993,21377,1993,21377,1,1993,1993,
14006,GILBERT ROBINSON HLDG  -CL A,375422,1989,21379,1990,21379,2,1989,1990,
14007,NEW CENTURY COMMUNCTN  -CL A,64399Y,1989,21380,1989,21380,1,1989,1989,
14008,CARLISLE PLASTICS INC  -CL A,142522,1989,21381,1995,21381,1,1989,1995,1
14009,ABBEY NATIONAL PLC  -ADR,2920,2000,21382,2006,21382,1,2000,2006,
14010,SKANEATELES BANCORP INC,830506,1993,21420,1998,21420,1,1993,1998,0
14011,UNIVERSITY BANCORP INC,914090,1993,21423,2006,21423,1,1993,2006,
14012,ADVANCED VIRAL RESEARCH CORP,7928,1999,21424,2006,21424,1,1999,2006,1
14013,CRAFTMADE INTERNATIONAL INC,22413E,1989,21427,2006,21427,1,1989,2006,1
14014,GRANITE CONSTRUCTION INC,387328,1989,21429,2006,21429,1,1989,2006,
14015,MEXICAN PATIO CAFES INC,592832,1989,21430,1995,21430,1,1989,1995,
14016,RIDGEFIELD ACQUISITION CORP,765816,1999,21432,2005,21432,1,1999,2005,0
14017,SULLIVAN DENTAL PRODUCTS INC,865300,1989,21434,1996,21434,1,1989,1996,
14018,AB HOLDING GROUP INC,770,1989,21435,2004,21435,1,1989,2004,
14019,CATERPILLAR FINANCIAL SVCS,14912L,1985,21436,2006,2817,-1,,,1
14020,DARLING DELAWARE CO,237261,1989,21437,1989,21437,1,1989,1989,1
14021,HYSTER-YALE MATERIALS HNDLG,449172,1989,21438,1994,21438,2,1989,1994,1
14022,K D HOLDINGS CORP,482447,1989,21439,1990,21439,1,1989,1990,
14023,LANDSTAR SYSTEM INC,515098,1989,21440,2006,21440,1,1989,2006,0
14024,PLAYTEX APPAREL INC,727905,1989,21441,1990,21441,1,1989,1990,1
14025,HORSEHEAD INDUSTRIES INC,440695,1989,21442,1989,21442,1,1989,1989,1
14026,ADIENCE INC,00499Z,1989,21444,1991,21444,1,1989,1991,0
14027,DISCOVER CREDIT CORP,25499Y,1989,21449,1993,21449,1,1989,1993,
14028,DR. PEPPER BTLG HLDGS  -CL A,25612T,1989,21450,1989,15273,-1,,,1
14029,FORD HOLDINGS INC,345277,1989,21454,1994,21454,1,1989,1994,
14030,GENERAL CHEMICAL CORP,369330,1989,21459,1997,21459,1,1989,1997,1
14031,KOPPERS HOLDINGS CORP -OLD,50099Y,1989,21465,1989,21465,1,1989,1989,
14032,FAIRWOOD CORP,30599X,1989,21469,2001,21469,1,1989,2001,0
14033,CONESTOGA TELEPHONE & TELEGR,207039,1974,21484,1992,21484,1,1974,1992,
14034,AST GENERAL CORP,00399Z,1989,21485,1990,21485,1,1989,1990,
14035,BATTERY ONE-STOP INC,07132P,1988,21486,1990,21486,1,1988,1990,
14036,BE AEROSPACE INC,73302,1989,21487,2006,21487,1,1989,2006,1
14037,JMAR TECHNOLOGIES INC,466212,1989,21488,2005,21488,1,1989,2005,1
